fold,policy,threshold,precision,recall,f1,ap50,tp,fp,fn,mean_matched_iou,sequence_macro_f1,sequence_macro_recall,pos_loc_recall,empty_fp_rate
0,P1,0.7417039716091796,0.2356687898089172,0.13909774436090225,0.17494089834515367,0.17164823115726618,37,120,229,0.6355304132196141,0.20364504681365148,0.24644388764113018,0.13533834586466165,0.0015660831142681358
0,P3,0.7417039716091796,0.14603174603174604,0.17293233082706766,0.15834767641996558,0.20165874091274766,46,269,220,0.638201858562244,0.1743767031054373,0.308798375894167,0.16917293233082706,0.0015660831142681358
0,P5,0.7417039716091796,0.12947658402203857,0.17669172932330826,0.14944356120826707,0.20192612044738958,47,316,219,0.6403855191567017,0.16388943576122406,0.3100674114271619,0.17293233082706766,0.0015660831142681358
0,H1_P1,0.7417039716091796,0.25,0.13157894736842105,0.1724137931034483,0.14093365292863314,35,105,231,0.6179153567117934,0.2330757745427398,0.26347011437547874,0.13157894736842105,0.0011465965658034565
1,P1,0.28636094318399374,0.061178098438426566,0.2568464730290456,0.09881864623243933,0.14602937105710617,619,9499,1791,0.6038198883065449,0.11632973556291883,0.2503258938046698,0.2553986710963455,0.45851917930419267
1,P3,0.28636094318399374,0.02204192492513406,0.26265560165975105,0.040670778720123354,0.1463600537355862,633,28085,1777,0.6012040561673825,0.06694746183678513,0.27570022407531,0.2612126245847176,0.45851917930419267
1,P5,0.28636094318399374,0.014075792730085074,0.26431535269709544,0.026728207279974825,0.1470502666541675,637,44618,1773,0.5999481241865343,0.05200534367845537,0.2821456946259487,0.26287375415282394,0.45851917930419267
1,H1_P1,0.28636094318399374,0.06672253063789672,0.26431535269709544,0.10654846533411391,0.1780027032827259,637,8910,1773,0.6057694898376131,0.1498752338365237,0.28764685066063206,0.2649501661129568,0.4263455248290217
2,P1,0.6162727695807001,0.5267175572519084,0.5026924295216978,0.5144246353322528,0.40921520025915487,1587,1426,1570,0.6399401648367106,0.5223275082683878,0.5516690257136118,0.5042762115932847,0.07703703703703704
2,P3,0.6162727695807001,0.5150631681243926,0.50364269876465,0.5092889173606663,0.3902495527256578,1590,1497,1567,0.6398482900556277,0.47633206813133366,0.5519874970511913,0.5052264808362369,0.07703703703703704
2,P5,0.6162727695807001,0.5115830115830116,0.50364269876465,0.5075818036711891,0.39018093320896846,1590,1518,1567,0.6398482900556277,0.46659696172555165,0.5519874970511913,0.5052264808362369,0.07703703703703704
2,H1_P1,0.6162727695807001,0.5440860215053763,0.40069686411149824,0.4615103976650857,0.4587795088763566,1265,1060,1892,0.6339994756103509,0.5453482190324296,0.5544173154045765,0.40291415901172,0.059894179894179896
3,P1,0.7009729124566091,0.3142857142857143,0.44,0.3666666666666667,0.23483061493662946,22,48,28,0.6077275836573385,0.3430215675404556,0.4080586080586081,0.44,0.0014305261848488618
3,P3,0.7009729124566091,0.16339869281045752,0.5,0.24630541871921183,0.22449637279616833,25,128,25,0.5949724710006409,0.22784605670822136,0.46849816849816844,0.52,0.0014305261848488618
3,P5,0.7009729124566091,0.13402061855670103,0.52,0.21311475409836064,0.2281632829168061,26,168,24,0.5943240275923963,0.20087187335466639,0.5018315018315018,0.54,0.0014305261848488618
3,H1_P1,0.7009729124566091,0.328125,0.42,0.368421052631579,0.20743793241385391,21,43,29,0.6024822616476099,0.34847837440060764,0.3967032967032967,0.44,0.0010573454409752456
4,P1,0.5411057926400302,0.4415443829684869,0.39015835901796153,0.4142639507983976,0.31083394417850857,3671,4643,5738,0.6657336671437689,0.45001328013262337,0.38481078140570685,0.3853757041130832,0.07983751269432075
4,P3,0.5411057926400302,0.43686087990487515,0.39047720267828673,0.41236881979909085,0.30998936704172236,3674,4736,5735,0.6657054326855629,0.4483150547805123,0.3849891935377318,0.38569454777340845,0.07983751269432075
4,P5,0.5411057926400302,0.43501420454545453,0.39058348389839515,0.4116032928263426,0.309847662179155,3675,4773,5734,0.6657044669340451,0.4479532599952911,0.3850486642484068,0.38580082899351686,0.07983751269432075
4,H1_P1,0.5411057926400302,0.4647058823529412,0.3862259538739505,0.4218468860641942,0.3102561943826528,3634,4186,5775,0.6678528890887586,0.4543771001518639,0.3832074946953999,0.38314379849080665,0.07733770799156316
