policy,sensor,precision,recall,f1,ap50_mean,tp,fp,fn
H1_P1,DAVIS,0.3141850220264317,0.35015710919088766,0.3311971765580013,0.21497887940948393,3566,7784,6618
H1_P1,DVX,0.24504313606780687,0.4145966709346991,0.30802891933028914,0.2920137147508962,1619,4988,2286
H1_P1,EVK4,0.20990201134605466,0.33832086450540316,0.2590706556333546,0.1492255785809854,407,1532,796
P1,DAVIS,0.30468144473725006,0.3859976433621367,0.3405527159317336,0.22983630192954982,3931,8971,6253
P1,DVX,0.24123526779054155,0.4140845070422535,0.3048642533936652,0.27060580596716255,1617,5086,2288
P1,EVK4,0.1877116594097726,0.32252701579384874,0.23730886850152907,0.13181282380666925,388,1679,815
P3,DAVIS,0.19011882426516574,0.3880597014925373,0.2552064834845501,0.22940739059323917,3952,16835,6232
P3,DVX,0.109359207600566,0.4156209987195903,0.1731569401472314,0.275373692131927,1623,13218,2282
P3,EVK4,0.07774480712166172,0.3266832917705736,0.12559923298178333,0.12803239448265177,393,4662,810
P5,DAVIS,0.14252782480279508,0.38855066771406127,0.20855403589216537,0.23211210453436426,3957,23806,6227
P5,DVX,0.07128425860857343,0.4156209987195903,0.12169609717692048,0.2744763175645125,1623,21145,2282
P5,EVK4,0.05777387743162206,0.3283458021612635,0.09825870646766169,0.12777380653000234,395,6442,808
