fold,policy,positive_window_localization_recall,empty_window_false_positive_rate,n_positive_windows,n_empty_windows
0,P1,0.13533834586466165,0.0015660831142681358,266,35758
0,P3,0.16917293233082706,0.0015660831142681358,266,35758
0,P5,0.17293233082706766,0.0015660831142681358,266,35758
0,H1_P1,0.13157894736842105,0.0011465965658034565,266,35758
1,P1,0.2553986710963455,0.45851917930419267,2408,16815
1,P3,0.2612126245847176,0.45851917930419267,2408,16815
1,P5,0.26287375415282394,0.45851917930419267,2408,16815
1,H1_P1,0.2649501661129568,0.4263455248290217,2408,16815
2,P1,0.5042762115932847,0.07703703703703704,3157,9450
2,P3,0.5052264808362369,0.07703703703703704,3157,9450
2,P5,0.5052264808362369,0.07703703703703704,3157,9450
2,H1_P1,0.40291415901172,0.059894179894179896,3157,9450
3,P1,0.44,0.0014305261848488618,50,16078
3,P3,0.52,0.0014305261848488618,50,16078
3,P5,0.54,0.0014305261848488618,50,16078
3,H1_P1,0.44,0.0010573454409752456,50,16078
4,P1,0.3853757041130832,0.07983751269432075,9409,12801
4,P3,0.38569454777340845,0.07983751269432075,9409,12801
4,P5,0.38580082899351686,0.07983751269432075,9409,12801
4,H1_P1,0.38314379849080665,0.07733770799156316,9409,12801
