fold,policy,sensor,p50_ms,p95_ms,p99_ms,n
0,P1,DAVIS,6.1381,13.425654999999999,15.806258,1000
0,P1,ALL,7.4077,24.020144999999996,34.436621999999964,2500
0,P1,DVX,5.2631,11.355199999999998,11.984832,1000
0,P1,EVK4,18.40025,34.44270999999999,37.819895,500
0,P3,DAVIS,5.63095,13.664625,18.667973,1000
0,P3,ALL,7.4276,52.56216499999993,68.85204799999993,2500
0,P3,DVX,5.316549999999999,11.35277,11.956245,1000
0,P3,EVK4,41.607,68.86463999999998,80.01986499999998,500
0,P5,DAVIS,5.57105,13.216224999999998,17.548424999999998,1000
0,P5,ALL,7.3659,55.48675,69.41279599999996,2500
0,P5,DVX,5.4306,11.3326,12.132112,1000
0,P5,EVK4,43.807500000000005,69.41877999999998,83.77355699999998,500
0,H1_P1,DAVIS,9.230149999999998,10.510229999999998,12.868511999999999,1000
0,H1_P1,ALL,9.4653,19.284639999999975,27.751806999999957,2500
0,H1_P1,DVX,7.9543,10.44327,12.137156999999998,1000
0,H1_P1,EVK4,14.64785,27.75903499999999,30.080437999999994,500
1,P1,DAVIS,11.81885,13.800880000000001,14.873330999999999,1000
1,P1,ALL,9.396650000000001,24.238289999999996,35.486015999999985,2500
1,P1,DVX,5.47645,11.295145,12.448379,1000
1,P1,EVK4,18.23665,35.488479999999996,39.48532899999999,500
1,P3,DAVIS,13.0428,29.727349999999987,48.73961599999998,1000
1,P3,ALL,9.6555,51.744359999999965,67.42131699999999,2500
1,P3,DVX,5.505850000000001,11.54989,12.09865,1000
1,P3,EVK4,40.964600000000004,66.71988999999998,78.48417099999999,500
1,P5,DAVIS,12.232600000000001,25.826399999999992,29.743672999999998,1000
1,P5,ALL,9.5212,52.08320499999996,69.09905599999989,2500
1,P5,DVX,5.49,11.478489999999999,12.558527,1000
1,P5,EVK4,45.39705,69.11687999999998,87.12008499999997,500
1,H1_P1,DAVIS,9.36325,10.761595,12.949554999999998,1000
1,H1_P1,ALL,9.55895,20.678844999999995,28.54883099999998,2500
1,H1_P1,DVX,8.3887,10.773995,12.673411999999999,1000
1,H1_P1,EVK4,15.98415,28.552154999999996,31.813828,500
2,P1,DAVIS,6.22655,13.98541,16.359941999999997,1000
2,P1,ALL,7.9638,27.06272999999999,38.439809999999895,2500
2,P1,DVX,6.17905,12.73408,13.733591999999998,1000
2,P1,EVK4,21.292900000000003,38.45704999999998,42.50342199999999,500
2,P3,DAVIS,5.7741,14.17113,18.439737,1000
2,P3,ALL,7.7499,57.911575,80.55849099999998,2500
2,P3,DVX,5.6897,12.097769999999997,12.95966,1000
2,P3,EVK4,45.8986,80.56205499999999,107.32948299999974,500
2,P5,DAVIS,5.94665,13.87521,20.162502999999997,1000
2,P5,ALL,8.0258,67.25079999999996,110.47230799999913,2500
2,P5,DVX,6.6204,14.213149999999999,19.007624999999965,1000
2,P5,EVK4,53.19605,110.61913999999983,183.17664399999998,500
2,H1_P1,DAVIS,8.2827,10.783345,11.689918999999998,1000
2,H1_P1,ALL,9.75095,24.94924499999995,45.803343999999974,2500
2,H1_P1,DVX,9.63065,13.617599999999998,16.025831,1000
2,H1_P1,EVK4,19.6834,45.807919999999996,53.809991,500
3,P1,DAVIS,5.44095,12.790634999999998,14.510227,1000
3,P1,ALL,7.2255,24.796084999999977,35.76429099999998,2500
3,P1,DVX,5.2357,11.062365,11.728914,1000
3,P1,EVK4,18.5078,35.768254999999996,38.764593999999995,500
3,P3,DAVIS,5.46715,13.035165,16.898070999999998,1000
3,P3,ALL,7.2862,53.56498499999999,70.0210229999998,2500
3,P3,DVX,5.2801,11.26392,11.848343999999999,1000
3,P3,EVK4,41.5343,70.05391499999996,81.429267,500
3,P5,DAVIS,5.48545,12.742605,17.070825,1000
3,P5,ALL,7.2711,57.09152999999999,73.46218199999998,2500
3,P5,DVX,5.2905999999999995,11.119375,11.618252,1000
3,P5,EVK4,45.4333,73.46530999999999,88.33758999999999,500
3,H1_P1,DAVIS,7.72,10.132895,10.983490999999999,1000
3,H1_P1,ALL,8.0508,18.865814999999998,27.51938699999998,2500
3,H1_P1,DVX,7.6664,9.908755,10.225335,1000
3,H1_P1,EVK4,14.00555,27.522534999999994,29.567269999999997,500
4,P1,DAVIS,16.301900000000003,37.469049999999996,44.013099,1000
4,P1,ALL,19.0313,53.91882999999999,73.24353599999979,2500
4,P1,DVX,14.8913,31.105185000000002,40.61730799999999,1000
4,P1,EVK4,45.31255,72.65263999999998,81.105098,500
4,P3,DAVIS,15.06845,35.242529999999995,46.631974,1000
4,P3,ALL,18.244799999999998,116.51690999999998,154.734801,2500
4,P3,DVX,14.27945,27.664775,31.815484999999992,1000
4,P3,EVK4,99.61410000000001,154.735605,276.2099709999998,500
4,P5,DAVIS,13.86565,33.37947,47.64846499999999,1000
4,P5,ALL,18.408749999999998,134.4198,173.50765399999847,2500
4,P5,DVX,15.920200000000001,52.03676499999998,141.68900299999996,1000
4,P5,EVK4,110.8768,167.21604,318.17745999999937,500
4,H1_P1,DAVIS,78.02539999999999,297.95043999999996,384.606037,1000
4,H1_P1,ALL,69.7327,222.2195499999999,343.01461599999857,2500
4,H1_P1,DVX,55.736850000000004,84.81519499999999,113.43105199999998,1000
4,H1_P1,EVK4,83.26365000000001,142.69553499999998,183.51188099999993,500
