policy,criterion,p95_ms,pass
H1_P1,LATENCY_A,61.19961899999996,False
H1_P1,LATENCY_B_DAVIS,68.027701,False
H1_P1,LATENCY_B_DVX,25.911762999999997,True
H1_P1,LATENCY_B_EVK4,54.467436,False
H1_P1,LATENCY_B,61.19961899999996,False
P1,LATENCY_A,30.80721599999999,True
P1,LATENCY_B_DAVIS,18.294325999999998,True
P1,LATENCY_B_DVX,15.510394999999999,True
P1,LATENCY_B_EVK4,43.361826999999984,False
P1,LATENCY_B,30.80721599999999,False
P3,LATENCY_A,66.45999899999997,False
P3,LATENCY_B_DAVIS,21.168159999999993,True
P3,LATENCY_B_DVX,14.785824999999999,True
P3,LATENCY_B_EVK4,88.18722099999998,False
P3,LATENCY_B,66.45999899999997,False
P5,LATENCY_A,73.26641699999998,False
P5,LATENCY_B_DAVIS,19.807981999999996,True
P5,LATENCY_B_DVX,20.036075999999998,True
P5,LATENCY_B_EVK4,97.96722999999994,False
P5,LATENCY_B,73.26641699999998,False
