sensor,method,n,centre_error_mean,centre_error_median,centre_error_p90,iou_oracle_mean,iou50_pct,combined_localization_block_p50_ms,combined_localization_block_p95_ms
DAVIS,C0_grid,9936,3.7864520343318873,3.605551275463989,6.082762530298219,0.41381966128517517,40.28784219001611,0.0908,0.255725
DAVIS,C1_centroid,9936,2.455258561866388,1.8913385759027836,4.817501027677183,0.5579444497312716,57.33695652173913,0.0908,0.255725
DAVIS,C2_recent_centroid,9936,2.4706538640528177,1.9013594829958929,4.863574412352017,0.5556221344433964,57.31682769726248,0.0908,0.255725
DAVIS,C3_linear_motion,9936,2.5710515397606555,1.9560513566515483,4.926524758983485,0.5509787160180986,56.57206119162641,0.0908,0.255725
DVX,C0_grid,3368,5.401252417146838,5.0,8.06225774829855,0.37763350865822803,27.226840855106886,0.2097,0.350265
DVX,C1_centroid,3368,3.2195300247787233,2.4040619290091167,5.713809264661647,0.5781810570203086,65.49881235154395,0.2097,0.350265
DVX,C2_recent_centroid,3368,3.220677509676709,2.4344534543227416,5.956286919806794,0.5763607792561802,64.69714964370546,0.2097,0.350265
DVX,C3_linear_motion,3368,3.685805542718931,2.486147585465867,6.00018793004859,0.5672279900357197,63.77672209026129,0.2097,0.350265
EVK4,C0_grid,1201,10.947823574555784,9.486832980505138,18.439088914585774,0.6513315808095992,83.34721065778517,0.2836,1.5739
EVK4,C1_centroid,1201,7.149944261764107,5.320047535734149,12.796640707596863,0.7613553229820268,93.92173189009159,0.2836,1.5739
EVK4,C2_recent_centroid,1201,7.0575868775294,5.353666904769377,12.893580180709968,0.7609779948843264,94.08825978351373,0.2836,1.5739
EVK4,C3_linear_motion,1201,10.418273966053945,5.32770555503496,13.484000118352492,0.7514141415092315,92.9225645295587,0.2836,1.5739
