fold,config,sensor,inference_p50_ms,inference_p95_ms,inference_p99_ms
0,B_CURRENT,ALL,53.061350000000004,80.33722499999999,101.9761200000004
0,N1_TOP1_BOX,ALL,35.3266,58.69005,79.41310500000009
0,N2_TOP3_JOINT,ALL,38.41875,62.583125,71.6539000000001
1,B_CURRENT,ALL,66.4985,217.39785000000003,375.3097149999989
1,N1_TOP1_BOX,ALL,43.465450000000004,171.39917,288.55843899999917
1,N2_TOP3_JOINT,ALL,48.24335,195.90088,337.29596099999986
2,B_CURRENT,ALL,7.0594,57.68187999999999,103.66122
2,N1_TOP1_BOX,ALL,4.5956,39.26249999999999,71.60566800000004
2,N2_TOP3_JOINT,ALL,5.0791,42.27181999999999,74.40938400000003
3,B_CURRENT,ALL,43.8672,65.80138,78.19618999999997
3,N1_TOP1_BOX,ALL,28.6169,46.53116999999999,51.525225999999996
3,N2_TOP3_JOINT,ALL,31.351399999999998,40.052115,54.43023799999996
4,B_CURRENT,ALL,40.618,93.21394000000001,156.400128
4,N1_TOP1_BOX,ALL,25.4478,63.09630000000004,104.78680000000006
4,N2_TOP3_JOINT,ALL,28.2847,68.21778,112.732284
