fold,config,sensor,inference_p50_ms,inference_p95_ms,inference_p99_ms
0,B_CURRENT,DAVIS,54.752250000000004,82.34183999999999,110.29163200000004
0,B_CURRENT,DVX,45.81405,62.94165,78.77575499999996
0,N1_TOP1_BOX,DAVIS,36.44385,59.13878999999997,81.25692300000001
0,N1_TOP1_BOX,DVX,29.82425,48.02045,61.04245499999996
0,N2_TOP3_JOINT,DAVIS,39.3767,62.94244499999999,73.78278
0,N2_TOP3_JOINT,DVX,35.11955,44.933825,53.67576499999999
1,B_CURRENT,DAVIS,61.6279,129.2638,205.042
1,B_CURRENT,DVX,62.709900000000005,90.8941,97.9113
1,B_CURRENT,EVK4,80.4374,271.3675,456.1193
1,N1_TOP1_BOX,DAVIS,38.3662,85.3148,136.8405
1,N1_TOP1_BOX,DVX,42.459,76.24340000000001,81.33820000000001
1,N1_TOP1_BOX,EVK4,58.0428,217.601,357.1015
1,N2_TOP3_JOINT,DAVIS,42.1085,92.7614,143.5954
1,N2_TOP3_JOINT,DVX,51.053799999999995,74.08394999999999,76.21767
1,N2_TOP3_JOINT,EVK4,67.2485,256.734,407.4239
2,B_CURRENT,DAVIS,7.05495,56.607159999999936,103.67318999999996
2,B_CURRENT,DVX,82.6007,94.16481999999999,95.627764
2,N1_TOP1_BOX,DAVIS,4.5906,39.044349999999994,71.65491599999986
2,N1_TOP1_BOX,DVX,42.6076,61.34838,61.448796
2,N2_TOP3_JOINT,DAVIS,5.0735,41.88089999999999,74.46663299999983
2,N2_TOP3_JOINT,DVX,61.5292,69.12798,69.55527599999999
3,B_CURRENT,DAVIS,48.59555,78.75934999999998,83.82779
3,B_CURRENT,DVX,43.72045,59.17388999999998,65.80723599999999
3,N1_TOP1_BOX,DAVIS,29.33715,47.213444999999986,51.534129
3,N1_TOP1_BOX,DVX,28.57605,44.40146999999998,49.633618
3,N2_TOP3_JOINT,DAVIS,30.21385,38.211245,39.585689
3,N2_TOP3_JOINT,DVX,31.656,40.31481999999999,56.593617999999985
4,B_CURRENT,DAVIS,44.568,104.19254000000006,175.812968
4,B_CURRENT,DVX,10.602599999999999,73.59199499999998,118.3751699999999
4,N1_TOP1_BOX,DAVIS,29.1854,70.80554000000001,120.97198
4,N1_TOP1_BOX,DVX,7.05345,49.201625,71.935135
4,N2_TOP3_JOINT,DAVIS,32.2839,76.96014000000001,124.388492
4,N2_TOP3_JOINT,DVX,7.394500000000001,53.396539999999995,79.52074999999998
