fold,mode,precision,recall,f1,tp,fp,fn
0,P1_ALWAYS,0.0017489797618056135,0.23684210526315788,0.0034723179099953156,63,35958,203
0,ORACLE_EMIT,1.0,0.23684210526315788,0.38297872340425526,63,0,203
1,P1_ALWAYS,0.03473430222770888,0.2568464730290456,0.061193218328308034,619,17202,1791
1,ORACLE_EMIT,1.0,0.2568464730290456,0.40871574777154174,619,0,1791
2,P1_ALWAYS,0.15800745617514078,0.6309787773202408,0.25272773407764526,1992,10615,1165
2,ORACLE_EMIT,1.0,0.6309787773202408,0.773742474266848,1992,0,1165
3,P1_ALWAYS,0.0014260912698412698,0.46,0.0028433675361602176,23,16105,27
3,ORACLE_EMIT,1.0,0.46,0.6301369863013699,23,0,27
4,P1_ALWAYS,0.17757766771724448,0.4191731321075566,0.249470255226288,3944,18266,5465
4,ORACLE_EMIT,1.0,0.4191731321075566,0.5907286752040739,3944,0,5465
