fold,method,threshold,precision,recall,f1,ap50,tp,fp,fn,mean_matched_iou,sequence_macro_f1,sequence_macro_recall,pos_loc_recall,empty_fp_rate
0,D0,0.7417039716091796,0.2356687898089172,0.13909774436090225,0.17494089834515367,0.17640697914971476,37,120,229,0.6374476655009306,0.20364504681365148,0.24644388764113018,0.13909774436090225,0.0015662145154523844
0,D1,0.7980850604018727,0.2740740740740741,0.13909774436090225,0.18453865336658357,0.17640697914971476,37,98,229,0.6374476655009306,0.2175313069551414,0.24644388764113018,0.13909774436090225,0.0009788840721577402
0,D2,0.7860169170948081,0.3300970873786408,0.12781954887218044,0.18428184281842816,0.17640697914971476,34,69,232,0.6317085070993089,0.23649170133243239,0.21735181602987697,0.12781954887218044,0.00027968116347364006
0,D3,0.43578085688976503,0.30833333333333335,0.13909774436090225,0.19170984455958548,0.17640697914971476,37,83,229,0.6374476655009306,0.23704860540303577,0.24644388764113018,0.13909774436090225,0.0006152985596420081
1,D0,0.28636094318399374,0.061178098438426566,0.2568464730290456,0.09881864623243933,0.14602937105710617,619,9499,1791,0.6171963408169947,0.11632973556291883,0.2503258938046698,0.25705980066445183,0.5002270810354895
1,D1,0.7181984125994386,0.09781843771991555,0.23070539419087138,0.13738571781566591,0.14602937105710617,556,5128,1854,0.6187888169396332,0.19503651566702318,0.23675716019827123,0.23089700996677742,0.25225459028093167
1,D2,0.6330060940344227,0.3092848180677541,0.2045643153526971,0.24625374625374627,0.14602937105710617,493,1101,1917,0.6160280212687038,0.2181384426504255,0.22312382126580968,0.20473421926910298,0.006747550768831506
1,D3,0.20722133767556133,0.11160987553560497,0.22697095435684647,0.14963753248529615,0.14602937105710617,547,4354,1863,0.6178247134795138,0.20198730620278402,0.2348626090114714,0.2271594684385382,0.20352948809446572
2,D0,0.6162727695807001,0.5267175572519084,0.5026924295216978,0.5144246353322528,0.44048526407614447,1587,1426,1570,0.7048092037392238,0.5223275082683878,0.5516690257136118,0.5026924295216978,0.07703703703703704
2,D1,0.8236381562591084,0.6879215205395462,0.3554006968641115,0.46867167919799496,0.44048526407614447,1122,509,2035,0.7210588849146752,0.5484986563850917,0.5023059683887708,0.3554006968641115,0.01470899470899471
2,D2,0.7761151996653785,0.7285285285285286,0.384225530566994,0.5031107424305269,0.44048526407614447,1213,452,1944,0.7195925513792762,0.5932887774993038,0.5535267751828261,0.384225530566994,0.007936507936507936
2,D3,0.6538938335082256,0.7127450980392157,0.23028191320874247,0.3480967201340675,0.44048526407614447,727,293,2430,0.7256470464913453,0.49432270030615993,0.46037390894078795,0.23028191320874247,0.008783068783068783
3,D0,0.7009729124566091,0.3142857142857143,0.44,0.3666666666666667,0.23989134368143553,22,48,28,0.6048099912709771,0.3430215675404556,0.4080586080586081,0.44,0.0014305261848488618
3,D1,0.8064951742513163,0.3728813559322034,0.44,0.40366972477064217,0.23989134368143553,22,37,28,0.6048099912709771,0.3808080808080809,0.4080586080586081,0.44,0.0007463614877472322
3,D2,0.8222670903322002,0.5675675675675675,0.42,0.4827586206896552,0.23989134368143553,21,16,29,0.6001845696890026,0.44857142857142857,0.3842490842490842,0.42,0.0
3,D3,0.6390431858254888,0.47619047619047616,0.4,0.43478260869565216,0.23989134368143553,20,22,30,0.6015604155372152,0.40090643274853804,0.37142857142857144,0.4,0.0003109839532280134
4,D0,0.5411057926400302,0.4415443829684869,0.39015835901796153,0.4142639507983976,0.3441996505087046,3671,4643,5738,0.6612434748653264,0.45001328013262337,0.38481078140570685,0.39015835901796153,0.07983751269432075
4,D1,0.5681776048953469,0.45109978874114576,0.38580082899351686,0.4159028414298808,0.3441996505087046,3630,4417,5779,0.6621380434494925,0.4500209835402587,0.38068922580599057,0.38580082899351686,0.07655651902195142
4,D2,0.5187407372677484,0.6080843585237259,0.3309597194175789,0.42863041982105987,0.3441996505087046,3114,2007,6295,0.6764580135354944,0.4524345294611975,0.34613271184969086,0.3309597194175789,0.03523162252948989
4,D3,0.4268791218044715,0.7705197387105935,0.28834095015410777,0.41964423820572305,0.3441996505087046,2713,808,6696,0.6887908697640035,0.4321817135225808,0.30413588375609085,0.28834095015410777,0.016795562846652606
