method,sensor,precision,recall,f1,ap50_mean,tp,fp,fn
D0,DAVIS,0.30468144473725006,0.3859976433621367,0.3405527159317336,0.2444824109963193,3931,8971,6253
D0,DVX,0.24123526779054155,0.4140845070422535,0.3048642533936652,0.2844752579811143,1617,5086,2288
D0,EVK4,0.1877116594097726,0.32252701579384874,0.23730886850152907,0.13181282380666925,388,1679,815
D1,DAVIS,0.4195752080486896,0.3316967792615868,0.37049629832739234,0.2444824109963193,3378,4673,6806
D1,DVX,0.2589545014520813,0.41101152368758004,0.317727407700683,0.2844752579811143,1605,4593,2300
D1,EVK4,0.2938026013771997,0.3192019950124688,0.3059760956175299,0.13181282380666925,384,923,819
D2,DAVIS,0.5980032599837001,0.288197172034564,0.38894778690697057,0.2444824109963193,2935,1973,7249
D2,DVX,0.6623986342296202,0.3974391805377721,0.49679897567221515,0.2844752579811143,1552,791,2353
D2,EVK4,0.30575256107171,0.32252701579384874,0.31391585760517804,0.13181282380666925,388,881,815
D3,DAVIS,0.6616385684708667,0.21965828750981933,0.3298193881312201,0.2444824109963193,2237,1144,7947
D3,DVX,0.2831384981176937,0.3659411011523688,0.3192582663092047,0.2844752579811143,1429,3618,2476
D3,EVK4,0.32142857142857145,0.314214463840399,0.31778058007566207,0.13181282380666925,378,798,825
