method,sensor,p50_ms,p95_ms,p99_ms,n
D1,ALL,12.79765,25.48371,35.823924000000005,10000
D1,DAVIS,12.4046,15.392714999999999,21.990492,4000
D1,DVX,12.58085,17.390904999999993,28.62879499999962,4000
D1,EVK4,19.535899999999998,33.722555,40.014832999999996,2000
D2,ALL,18.0356,32.225195,43.833118000000006,10000
D2,DAVIS,17.6739,22.334179999999996,26.911918999999997,4000
D2,DVX,17.7647,22.173585,25.45243799999998,4000
D2,EVK4,25.919150000000002,43.072745000000005,58.33423599999999,2000
D3,ALL,23.51945,38.80098499999997,53.685308000000006,10000
D3,DAVIS,22.96575,29.201435,34.305002,4000
D3,DVX,23.12885,30.052609999999962,37.44517099999997,4000
D3,EVK4,32.095150000000004,51.780004999999996,100.264935,2000
