fold,method,threshold
0,D0_T0,0.7417039716091796
0,D1_T1,0.7980850604018727
0,D2_G1,0.7860169170948081
0,D3_G2,0.43578085688976503
1,D0_T0,0.28636094318399374
1,D1_T1,0.7181984125994386
1,D2_G1,0.6330060940344227
1,D3_G2,0.20722133767556133
2,D0_T0,0.6162727695807001
2,D1_T1,0.8236381562591084
2,D2_G1,0.7761151996653785
2,D3_G2,0.6538938335082256
3,D0_T0,0.7009729124566091
3,D1_T1,0.8064951742513163
3,D2_G1,0.8222670903322002
3,D3_G2,0.6390431858254888
4,D0_T0,0.5411057926400302
4,D1_T1,0.5681776048953469
4,D2_G1,0.5187407372677484
4,D3_G2,0.4268791218044715
